LAT,LNG,CLS
44.79336,20.42681,7
44.78532,20.48283,1
44.80297,20.46599,1
44.68019,20.51925,10
44.79802,20.47683,1
44.38583,20.26509,5
44.60371,20.41351,2
44.46679,20.57049,14
44.811339,20.4632,1
44.80166,20.49568,1
44.77473,20.41771,7
44.3793,20.73096,3
44.8039,20.3663,11
44.81261,20.45404,1
44.78847,20.49981,1
44.81502,20.50854,1
44.80608,20.3831,11
44.80171,20.38873,11
44.77331,20.43777,7
44.84998,20.38569,11
44.77534,20.40608,7
44.787136,20.499909,1
44.84077,20.36476,11
44.82158,20.39676,11
44.782682,20.440039,7
44.81104,20.4556,1
44.83488,20.25875,8
44.834595,20.330801,11
44.81202,20.37035,11
44.8212,20.41719,11
44.786182,20.5383,1
44.7449,20.6006,10
44.79095,20.49787,1
44.82703,20.41342,11
44.81501,20.45128,1
44.81018,20.47305,1
44.8714,20.4723,9
44.77288,20.508551,1
44.80767,20.3596,11
44.673723,20.600862,10
44.7729,20.41132,7
44.76794,20.4135,7
44.81513,20.47469,1
44.818694,20.490444,1
44.841926,20.385878,11
44.796775,20.504224,1
44.87881,20.46667,9
44.809061,20.51275,1
44.79724,20.44581,1
44.77428,20.47937,1
44.656105,20.623856,6
44.74471,20.43206,7
44.7658,20.46839,1
44.77431,20.41401,7
44.71556,20.45271,7
44.78577,20.43249,7
44.883138,20.457219,9
44.80643,20.47086,1
44.77993,20.41641,7
44.77296,20.40865,7
44.78968,20.54552,1
44.80387,20.46852,1
44.87278,20.32491,0
44.7494,20.45428,7
44.79065,20.47112,1
44.79924,20.46247,1
44.79503,20.43705,7
44.76412,20.4281,7
44.79085,20.47514,1
44.78915,20.53209,1
44.79031,20.45366,1
44.780468,20.385748,7
44.799036,20.448039,1
44.59085,20.14833,13
44.787445,20.499951,1
44.81618,20.45577,1
44.79232,20.51004,1
44.800077,20.47954,1
44.81189,20.40796,11
44.81909,20.49476,1
44.69826,20.50269,10
44.76036,20.45287,7
44.78047,20.3858,7
44.81026,20.47648,1
44.83071,20.374789,11
44.83022,20.41099,11
44.877844,20.181117,0
44.81921,20.41464,11
44.44125,20.69252,3
44.70078,20.45134,7
44.8214,20.4559,1
44.82943,20.45663,1
44.81687,20.47684,1
44.80501,20.47659,1
44.79688,20.44386,1
44.815529,20.436862,11
44.72703,20.37209,12
44.556357,20.2985,2
44.78878,20.44371,7
44.75283,20.43839,7
44.80253,20.3219,8
44.80954,20.47575,1
44.82972,20.22414,8
44.76768,20.50059,1
44.811205,20.487114,1
44.568366,20.654545,14
44.79903,20.48823,1
44.80861,20.45711,1
44.835853,20.411251,11
44.806135,20.479129,1
44.81032,20.46607,1
44.44117,20.693552,3
44.7924,20.47853,1
44.81039,20.40385,11
44.7589,20.41505,7
44.82138,20.41065,11
44.80125,20.25835,8
44.81508,20.43229,11
44.783029,20.528524,1
44.782578,20.513779,1
44.80038,20.45915,1
44.77547,20.54158,1
44.80682,20.46167,1
44.745307,20.427129,7
44.87504,20.32054,0
44.84117,20.49079,1
44.7951,20.43615,7
44.76476,20.50261,1
44.822877,20.459143,1
44.79056,20.46939,1
44.40345,20.250117,5
44.87449,20.32354,0
44.79702,20.39248,11
44.79613,20.46824,1
44.84351,20.39232,11
44.8149,20.43503,11
44.80171,20.38164,11
44.819459,20.389112,11
44.76744,20.56055,10
44.78037,20.41693,7
44.80272,20.44079,1
44.84172,20.3932,11
44.80973,20.4683,1
44.80159,20.38426,11
44.80486,20.51068,1
44.77514,20.48881,1
44.81734,20.28919,8
44.74514,20.25365,8
44.77771,20.45814,1
44.81705,20.40934,11
44.8124,20.47051,1
44.77182,20.41708,7
44.81381,20.42491,11
44.87529,20.18816,0
44.81476,20.45499,1
44.77219,20.4381,7
44.79768,20.49378,1
44.788,20.4633,1
44.84165,20.3715,11
44.77159,20.409762,7
44.819593,20.408965,11
44.75201,20.50244,1
44.77134,20.55622,10
44.79828,20.44809,1
44.63924,20.41235,2
44.79916,20.48545,1
44.77465,20.50552,1
44.867891,20.473931,9
44.78828,20.41876,7
44.83082,20.4098,11
44.78823,20.47275,1
44.82144,20.41946,11
44.38614,20.26374,5
44.809011,20.464354,1
44.81927,20.46639,1
44.84603,20.48819,9
44.80546,20.47024,1
44.80781,20.38766,11
44.75427,20.40381,7
44.80482,20.47537,1
44.75969,20.4454,7
44.8197,20.45001,1
44.90252,20.44171,9
44.75373,20.45583,7
44.84117,20.36086,11
44.79667,20.47218,1
44.73174,20.38236,12
44.80949,20.36372,11
44.85357,20.48574,9
44.85357,20.48574,9
44.74158,20.42394,7
44.8508,20.34125,11
44.81988,20.40898,11
44.64959,20.26188,4
44.80862,20.48278,1
44.63635,20.18252,4
44.7949521,20.4694407,1
